"analysis_id","n_persons","person_days","n_events","incidence_start_date","incidence_end_date","person_years","incidence_100000_pys","incidence_100000_pys_95CI_lower","incidence_100000_pys_95CI_upper","cohort_obscured","result_obscured","outcome_cohort_id","outcome_cohort_name","analysis_outcome_washout","analysis_repeated_events","analysis_interval","analysis_complete_database_intervals","denominator_cohort_id","analysis_min_cell_count","denominator_age_group","denominator_sex","denominator_days_prior_history","denominator_start_date","denominator_end_date","denominator_strata_cohort_definition_id","denominator_strata_cohort_name","database_name"
2,892387,289090278,NA,2017-01-01,2017-12-31,791486.045174538,NA,NA,NA,"FALSE","TRUE",1,NA,0,TRUE,"years",TRUE,4,5,"0;19","Both",180,2017-01-01,2020-06-29,NA,NA,"cdmgold202007"
2,811486,269202602,NA,2018-01-01,2018-12-31,737036.55578371,NA,NA,NA,"FALSE","TRUE",1,NA,0,TRUE,"years",TRUE,4,5,"0;19","Both",180,2017-01-01,2020-06-29,NA,NA,"cdmgold202007"
2,768446,253618779,NA,2019-01-01,2019-12-31,694370.373716632,NA,NA,NA,"FALSE","TRUE",1,NA,0,TRUE,"years",TRUE,4,5,"0;19","Both",180,2017-01-01,2020-06-29,NA,NA,"cdmgold202007"
4,455681,147762440,NA,2017-01-01,2017-12-31,404551.51266256,NA,NA,NA,"FALSE","TRUE",1,NA,0,TRUE,"years",TRUE,5,5,"0;19","Male",180,2017-01-01,2020-06-29,NA,NA,"cdmgold202007"
4,414551,137662181,NA,2018-01-01,2018-12-31,376898.510609172,NA,NA,NA,"FALSE","TRUE",1,NA,0,TRUE,"years",TRUE,5,5,"0;19","Male",180,2017-01-01,2020-06-29,NA,NA,"cdmgold202007"
4,392550,129805549,NA,2019-01-01,2019-12-31,355388.224503765,NA,NA,NA,"FALSE","TRUE",1,NA,0,TRUE,"years",TRUE,5,5,"0;19","Male",180,2017-01-01,2020-06-29,NA,NA,"cdmgold202007"
6,126357,40221077,399,2017-01-01,2017-12-31,110119.307323751,362.334280606161,327.649478993632,399.691642767576,"FALSE","FALSE",1,NA,0,TRUE,"years",TRUE,18,5,"80;150","Female",180,2017-01-01,2020-06-29,NA,NA,"cdmgold202007"
6,116347,37980578,404,2018-01-01,2018-12-31,103985.155373032,388.516994133159,351.550897394317,428.313019054894,"FALSE","FALSE",1,NA,0,TRUE,"years",TRUE,18,5,"80;150","Female",180,2017-01-01,2020-06-29,NA,NA,"cdmgold202007"
6,112450,36595864,350,2019-01-01,2019-12-31,100194.015058179,349.32226220974,313.679989635212,387.905104492314,"FALSE","FALSE",1,NA,0,TRUE,"years",TRUE,18,5,"80;150","Female",180,2017-01-01,2020-06-29,NA,NA,"cdmgold202007"
8,1996613,657185138,23,2017-01-01,2017-12-31,1799274.84736482,1.27829275408842,0.810327952863805,1.91806676702993,"FALSE","FALSE",1,NA,0,TRUE,"years",TRUE,2,5,"0;150","Male",180,2017-01-01,2020-06-29,NA,NA,"cdmgold202007"
